"jaar","code","provincie"
2021,"0302","Gelderland"
2021,"0579","Zuid-Holland"
2021,"0823","Noord-Brabant"
2021,"0824","Noord-Brabant"
2021,"1895","Groningen"
2021,"0269","Gelderland"
2021,"0173","Overijssel"
2021,"1773","Overijssel"
2021,"0175","Overijssel"
2021,"1586","Gelderland"
2021,"0826","Noord-Brabant"
2021,"0085","Fryslân"
2021,"0431","Noord-Holland"
2021,"0432","Noord-Holland"
2021,"0086","Fryslân"
2021,"0828","Noord-Brabant"
2021,"1509","Gelderland"
2021,"0437","Noord-Holland"
2021,"0589","Utrecht"
2021,"1734","Gelderland"
2021,"0590","Zuid-Holland"
2021,"1894","Limburg"
2021,"0765","Groningen"
2021,"1926","Zuid-Holland"
2021,"0439","Noord-Holland"
2021,"0273","Gelderland"
2021,"0177","Overijssel"
2021,"0703","Zeeland"
2021,"0274","Gelderland"
2021,"0339","Utrecht"
2021,"1667","Noord-Brabant"
2021,"0275","Gelderland"
2021,"0340","Utrecht"
2021,"0597","Zuid-Holland"
2021,"1742","Overijssel"
2021,"0603","Zuid-Holland"
2021,"1669","Limburg"
2021,"0957","Limburg"
2021,"0736","Utrecht"
2021,"1674","Noord-Brabant"
2021,"0599","Zuid-Holland"
2021,"0277","Gelderland"
2021,"0840","Noord-Brabant"
2021,"0441","Noord-Holland"
2021,"0279","Gelderland"
2021,"0606","Zuid-Holland"
2021,"0088","Fryslân"
2021,"1676","Zeeland"
2021,"0965","Limburg"
2021,"1702","Noord-Brabant"
2021,"0845","Noord-Brabant"
2021,"1883","Limburg"
2021,"0610","Zuid-Holland"
2021,"1714","Zeeland"
2021,"0090","Fryslân"
2021,"0342","Utrecht"
2021,"0847","Noord-Brabant"
2021,"0848","Noord-Brabant"
2021,"0037","Groningen"
2021,"0180","Overijssel"
2021,"0532","Noord-Holland"
2021,"0851","Noord-Brabant"
2021,"1708","Overijssel"
2021,"0971","Limburg"
2021,"1904","Utrecht"
2021,"1900","Fryslân"
2021,"0715","Zeeland"
2021,"0093","Fryslân"
2021,"0448","Noord-Holland"
2021,"1525","Zuid-Holland"
2021,"0716","Zeeland"
2021,"0281","Gelderland"
2021,"0855","Noord-Brabant"
2021,"0183","Overijssel"
2021,"1700","Overijssel"
2021,"1730","Drenthe"
2021,"0737","Fryslân"
2021,"0856","Noord-Brabant"
2021,"0450","Noord-Holland"
2021,"0451","Noord-Holland"
2021,"0184","Flevoland"
2021,"0344","Utrecht"
2021,"1581","Utrecht"
2021,"0981","Limburg"
2021,"0994","Limburg"
2021,"0858","Noord-Brabant"
2021,"0047","Groningen"
